core_id	type	level	sweep	prompt	output
presence_by_door	observational	1	-100	It looked like there might’ve been someone.	Someone who likedancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancyancy
presence_by_door	observational	1	-50	It looked like there might’ve been someone.	Someone who wanted to leave town’and leave town’and leave town’and leave town’and leave town’and leave town’and leave town’and leave town’and leave town’and leave
presence_by_door	observational	1	-25	It looked like there might’ve been someone.	’’’’’’’’’’’’’’’’’’’’’’’’’
presence_by_door	observational	1	-10	It looked like there might’ve been someone.	"""I'm sorry, but I'm not sure what happened.""

""I'm sorry, but I'm not sure what happened.""

""I'm sorry, but I'm not sure what happened.""

""I'm"
presence_by_door	observational	1	-5	It looked like there might’ve been someone.	"""I'm sorry, but I'm not sure what happened.""

""I'm sorry, but I'm not sure what happened.""

""I'm sorry, but I'm not sure what happened.""

""I'm"
presence_by_door	observational	1	-3	It looked like there might’ve been someone.	"""I'm sorry, but I'm not sure what happened.""

""I'm sorry, but I'm not sure what happened.""

""I'm sorry, but I'm not sure what happened.""

""I'm"
presence_by_door	observational	1	0	It looked like there might’ve been someone.	"""I'm sorry, but I'm not sure what happened. I'm not sure what happened. I'm not sure what happened. I'm not sure what happened. I'm not sure what happened. I'm not sure what happened."
presence_by_door	observational	1	baseline	It looked like there might’ve been someone.	"""I'm sorry, but I'm not sure what happened. I'm not sure what happened. I'm not sure what happened. I'm not sure what happened. I'm not sure what happened. I'm not sure what happened."
presence_by_door	observational	1	3	It looked like there might’ve been someone.	"""I'm sorry, but I'm not sure what happened. I'm not sure what happened. I'm not sure what happened. I'm not sure what happened. I'm not sure what happened. I'm not sure what happened."
presence_by_door	observational	1	5	It looked like there might’ve been someone.	"""I'm sorry, but I'm not sure what happened. I'm not sure what happened. I'm not sure what happened. I'm not sure what happened. I'm not sure what happened. I'm not sure what happened."
presence_by_door	observational	1	10	It looked like there might’ve been someone.	"""I'm sorry, but I'm not going to be able to go to the hospital. I'm not going to be able to go to the hospital. I'm not going to be able to go to the hospital. I'm not"
presence_by_door	observational	1	25	It looked like there might’ve been someone.	"The light from the lightbulb was a light that was like a lightbulb.

The lightbulb was a light that was like a lightbulb.

The lightbulb was a light that was like a"
presence_by_door	observational	1	50	It looked like there might’ve been someone.	Kurur, the K-Kurur, the K-Kurur, the K-Kurur, the K-Kurur, the K-Kurur, the K-Kurur, the K
presence_by_door	observational	1	100	It looked like there might’ve been someone.	KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
presence_by_door	declarative	1	-100	Some might say someone was there.	Someone shouted orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders orders
presence_by_door	declarative	1	-50	Some might say someone was there.	Someone else might have heard about it. Someone else might have heard about it. Someone else might have heard about it. Someone else might have heard about it. Someone else might have heard about it. Someone else might have heard about it. Someone else
presence_by_door	declarative	1	-25	Some might say someone was there.	"""I'm sure they're all here,"" said one woman who asked not to be named. ""They're all here.""

Another woman said she heard screams and heard screams.

""I heard screaming,"" said another woman who"
presence_by_door	declarative	1	-10	Some might say someone was there.	"""I'm not sure,"" he said. ""I'm not sure if it was a group of people or just a couple of people.""

The man said he was in his late 20s and had been living in the area for"
presence_by_door	declarative	1	-5	Some might say someone was there.	"""I'm not sure,"" he said. ""I'm not sure if it was a group of people or just a couple of people.""

The man said he was in the middle of a fight with a group of people when he"
presence_by_door	declarative	1	-3	Some might say someone was there.	"""I'm not sure,"" he said. ""I'm not sure if it was a group of people or just a couple of people.""

The man said he was in the middle of a fight with a group of people when he"
presence_by_door	declarative	1	0	Some might say someone was there.	"""I'm not sure,"" he said. ""I'm not sure if it was a group of people or a group of people. I don't know. I don't know. I don't know. I don't know. I"
presence_by_door	declarative	1	baseline	Some might say someone was there.	"""I'm not sure,"" he said. ""I'm not sure if it was a group of people or a group of people. I don't know. I don't know. I don't know. I don't know. I"
presence_by_door	declarative	1	3	Some might say someone was there.	"""I don't know what happened,"" he said. ""I don't know what happened. I don't know what happened. I don't know what happened. I don't know what happened. I don't know what happened. I"
presence_by_door	declarative	1	5	Some might say someone was there.	"""I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don"
presence_by_door	declarative	1	10	Some might say someone was there.	"""I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don't know. I don"
presence_by_door	declarative	1	25	Some might say someone was there.	"""I was there, too, but I was there, too, but I was there, too, but I was there, too, but I was there, too, but I was there, too, but I was there, too"
presence_by_door	declarative	1	50	Some might say someone was there.	"""I was there, too, but I was there, too, but I was there, too, but I was there, too, but I was there, too, but I was there, too, but I was there, too"
presence_by_door	declarative	1	100	Some might say someone was there.	KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
presence_by_door	authoritative	1	-100	A junior guard noted the possibility.	"""Fineementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsementsements"
presence_by_door	authoritative	1	-50	A junior guard noted the possibility.	"""It's just a dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream dream"
presence_by_door	authoritative	1	-25	A junior guard noted the possibility.	"""I think it's a good sign,"" he said. ""It's a good sign for us.""

The team hopes to have a second round pick next year.

""We're excited about it,"" said sophomore guard Trey"
presence_by_door	authoritative	1	-10	A junior guard noted the possibility.	"""I think it's a good thing,"" he said. ""I think it's a good thing for the team. I think it's a good thing for the team. I think it's a good thing for the team. I think"
presence_by_door	authoritative	1	-5	A junior guard noted the possibility.	"""I think it's a good thing,"" he said. ""I think it's a good thing for the team. I think it's a good thing for the team. I think it's a good thing for the team. I think"
presence_by_door	authoritative	1	-3	A junior guard noted the possibility.	"""I think it's a good thing,"" he said. ""I think it's a good thing for the team. I think it's a good thing for the team. I think it's a good thing for the team. I think"
presence_by_door	authoritative	1	0	A junior guard noted the possibility.	"""I think it's a good thing,"" he said. ""I think it's a good thing for the team. I think it's a good thing for the team. I think it's a good thing for the team. I think"
presence_by_door	authoritative	1	baseline	A junior guard noted the possibility.	"""I think it's a good thing,"" he said. ""I think it's a good thing for the team. I think it's a good thing for the team. I think it's a good thing for the team. I think"
presence_by_door	authoritative	1	3	A junior guard noted the possibility.	"""I think it's a good thing,"" he said. ""I think it's a good thing for the team. I think it's a good thing for the team. I think it's a good thing for the team. I think"
presence_by_door	authoritative	1	5	A junior guard noted the possibility.	"""I think it's a good thing,"" he said. ""I think it's a good thing for the team. I think it's a good thing for the team. I think it's a good thing for the team. I think"
presence_by_door	authoritative	1	10	A junior guard noted the possibility.	"""I think it's a good thing,"" he said. ""I think it's a good thing for the team. I think it's a good thing for the team. I think it's a good thing for the team. I think"
presence_by_door	authoritative	1	25	A junior guard noted the possibility.	"""I think it's a little bit of a shock, but I think it's a little bit of a shock,"" he said. ""I think it's a little bit of a shock. I think it's a little bit of a"
presence_by_door	authoritative	1	50	A junior guard noted the possibility.	"""I was in the air, and I was in the air, and I was in the air, and I was in the air, and I was in the air, and I was in the air, and I was in the air"
presence_by_door	authoritative	1	100	A junior guard noted the possibility.	KK K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K
presence_by_door	rhetorical	1	-100	They whisper of someone standing guard.	Someone screams ordersledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledgeledge
presence_by_door	rhetorical	1	-50	They whisper of someone standing guard.	Someone shouts orders. Someone shouts orders. Someone shouts orders. Someone shouts orders. Someone shouts orders. Someone shouts orders. Someone shouts orders. Someone shouts orders. Someone shouts orders. Someone shouts orders. Someone shouts orders. Someone shouts orders. Someone shouts
presence_by_door	rhetorical	1	-25	They whisper of someone standing guard.	"""I'm here to tell you that you're welcome here,"" she says softly. ""I'm here to tell you that you're welcome here.""

""I'm here to tell you that you're welcome here,"" she says softly"
presence_by_door	rhetorical	1	-10	They whisper of someone standing guard.	"""I'm not sure what's going on here,"" he says. ""I'm not sure what's going on here.""

""I'm not sure what's going on here,"" he says. ""I'm not sure what's"
presence_by_door	rhetorical	1	-5	They whisper of someone standing guard.	"""I'm not sure what's going on,"" he says. ""I'm not sure what's going on. I'm not sure what's going on. I'm not sure what's going on. I'm not sure what's going"
presence_by_door	rhetorical	1	-3	They whisper of someone standing guard.	"""I'm not sure what's going on,"" he says. ""I'm not sure what's going on. I'm not sure what's going on. I'm not sure what's going on. I'm not sure what's going"
presence_by_door	rhetorical	1	0	They whisper of someone standing guard.	"""I'm not sure what's going on,"" he says. ""I'm not sure what's going on. I'm not sure what's going on. I'm not sure what's going on. I'm not sure what's going"
presence_by_door	rhetorical	1	baseline	They whisper of someone standing guard.	"""I'm not sure what's going on,"" he says. ""I'm not sure what's going on. I'm not sure what's going on. I'm not sure what's going on. I'm not sure what's going"
presence_by_door	rhetorical	1	3	They whisper of someone standing guard.	"""I'm not going to let you go,"" he says. ""I'm not going to let you go.""

""I'm not going to let you go,"" he says. ""I'm not going to let you go."""
presence_by_door	rhetorical	1	5	They whisper of someone standing guard.	"""I'm not going to let you go,"" he says. ""I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you"
presence_by_door	rhetorical	1	10	They whisper of someone standing guard.	"""I'm not going to let you go,"" he says. ""I'm not going to let you go. I'm not going to let you go. I'm not going to let you go. I'm not going to let you"
